[2024-05-27 11:48:20,240: INFO: pipelines: pdf to vector pipe line started]
[2024-05-27 12:48:02,790: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 12:48:02,796: INFO: app: Conversation chain run completed with response: Type 1 diabetes is typically diagnosed in children and young adults and involves the body not producing insulin. Type 2 diabetes is more common and involves insulin resistance or insufficient insulin production.]
[2024-05-27 12:54:02,379: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 12:54:03,332: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:54:05,994: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:54:06,417: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:54:06,539: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 12:54:06,539: ERROR: app: Conversation chain has not been created yet]
[2024-05-27 12:55:46,952: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 12:55:47,911: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:55:50,279: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:55:50,721: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:55:50,855: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 12:55:50,856: ERROR: app: Conversation chain has not been created yet]
[2024-05-27 12:55:50,856: INFO: app: New conversation chain created]
[2024-05-27 12:55:50,856: INFO: app: Conversation chain run started with user inputs: Describe the differences between Type 1 and Type 2 diabetes as detailed in the document]
[2024-05-27 12:55:51,992: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 12:55:51,996: INFO: app: Conversation chain run completed with response: Type 1 diabetes is typically diagnosed in children and young adults and involves the body not producing insulin. Type 2 diabetes is more common and involves insulin resistance or insufficient insulin production.]
[2024-05-27 12:59:51,620: ERROR: pipelines: Vector stores have not been created yet. Upload your document first.]
[2024-05-27 13:21:36,843: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 13:21:38,205: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 13:21:40,991: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 13:21:41,631: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 13:21:41,788: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 13:21:41,789: ERROR: app: Conversation chain has not been created yet]
[2024-05-27 13:21:41,790: INFO: app: New conversation chain created]
[2024-05-27 13:21:41,790: INFO: app: Conversation chain run started with user inputs: Describe the differences between Type 1 and Type 2 diabetes as detailed in the document]
[2024-05-27 13:21:43,310: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 13:21:43,316: INFO: app: Conversation chain run completed with response: Type 1 diabetes is typically diagnosed in children and young adults and involves the body not producing insulin. Type 2 diabetes is more common and involves insulin resistance or insufficient insulin production.]
[2024-05-27 13:22:30,130: WARNING: app: Upload your document]
[2024-05-27 13:39:21,172: WARNING: app: Please upload your document first.]
[2024-05-27 13:39:52,385: ERROR: pipelines: Vector stores have not been created yet. Run start_pipeline() first.]
[2024-05-27 13:39:52,386: ERROR: app: Failed to process the PDF: Vector stores have not been created yet. Run start_pipeline() first.]
[2024-05-27 13:40:28,852: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 13:40:33,899: WARNING: app: Please upload your document first.]
[2024-05-27 13:40:40,801: ERROR: pipelines: Vector stores have not been created yet. Run start_pipeline() first.]
[2024-05-27 13:40:40,803: ERROR: app: Failed to process the PDF: Vector stores have not been created yet. Run start_pipeline() first.]
[2024-05-27 13:41:57,581: WARNING: app: Please upload your document first.]
[2024-05-27 13:42:03,505: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 13:42:04,921: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 13:42:08,658: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 13:42:09,273: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 13:42:09,438: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 13:42:09,439: INFO: app: New conversation chain created]
[2024-05-27 13:42:36,430: INFO: app: Conversation chain run started with user inputs: What are some oral medications for]
[2024-05-27 13:42:37,400: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 13:42:37,405: INFO: app: Conversation chain run completed with response: Metformin is an oral medication that can reduce glucose production in the liver.]
[2024-05-27 13:42:37,406: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 13:42:57,567: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 13:43:11,148: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 13:43:25,943: INFO: app: Conversation chain run started with user inputs: My A1C is 6, do I have diabetes]
[2024-05-27 13:43:26,966: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 13:43:26,971: INFO: app: Conversation chain run completed with response: An A1C of 6 indicates good blood sugar control and is within the normal range.]
[2024-05-27 13:44:58,684: WARNING: app: Please upload your document first.]
[2024-05-27 13:45:19,777: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 13:45:21,159: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 13:45:24,415: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 13:45:25,039: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 13:45:25,228: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 13:45:25,229: INFO: app: New conversation chain created]
[2024-05-27 13:45:45,408: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 14:59:49,794: WARNING: app: Please upload your document first.]
[2024-05-27 15:00:29,551: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:00:30,510: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:00:33,305: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:00:33,738: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:00:33,854: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:00:33,855: INFO: app: New conversation chain created]
[2024-05-27 15:00:33,855: ERROR: app: Failed to process the PDF: ExtractionChain.run_extraction_chain() missing 1 required positional argument: 'user_inputs']
[2024-05-27 15:01:18,210: WARNING: app: Please upload your document first.]
[2024-05-27 15:01:31,755: INFO: pipelines: PDF to vector pipeline started for path: pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:01:32,720: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:01:35,461: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:01:35,904: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:01:36,021: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:01:36,022: INFO: app: New conversation chain created]
[2024-05-27 15:01:36,022: INFO: app: New Extraction chain created]
[2024-05-27 15:02:21,532: ERROR: app: Failed to get response from bot: ConversationChain.__init__() missing 4 required positional arguments: 'llm', 'memory', 'vector_stores', and 'diabetes_prompt_template']
[2024-05-27 15:14:19,475: INFO: pipelines: PDF to vector pipeline started for path: pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:14:20,433: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:14:23,255: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:14:23,691: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:14:23,811: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:14:23,812: INFO: app: New conversation chain created]
[2024-05-27 15:14:23,812: INFO: app: New Extraction chain created]
[2024-05-27 15:16:11,893: ERROR: app: Failed to get response from bot: ConversationChain.__init__() missing 4 required positional arguments: 'llm', 'memory', 'vector_stores', and 'diabetes_prompt_template']
[2024-05-27 15:18:36,002: ERROR: app: Failed to get response from bot: ConversationChain.__init__() missing 4 required positional arguments: 'llm', 'memory', 'vector_stores', and 'diabetes_prompt_template']
[2024-05-27 15:23:55,157: INFO: pipelines: PDF to vector pipeline started for path: pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:23:56,122: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:23:58,852: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:23:59,296: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:23:59,418: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:23:59,419: INFO: app: New conversation chain created]
[2024-05-27 15:23:59,419: INFO: app: New Extraction chain created]
[2024-05-27 15:24:16,521: INFO: app: Extraction chain run started with user inputs: What are some oral medications for]
[2024-05-27 15:24:17,876: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 15:24:17,880: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:24:57,793: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:25:16,606: INFO: pipelines: PDF to vector pipeline started for path: pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:25:17,567: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:25:21,164: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:25:21,604: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:25:21,718: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:25:21,719: INFO: app: New conversation chain created]
[2024-05-27 15:25:21,719: INFO: app: New Extraction chain created]
[2024-05-27 15:25:39,089: INFO: app: Conversation chain run started with user inputs: What are some oral medications for]
[2024-05-27 15:25:40,206: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 15:25:40,212: INFO: app: Conversation chain run completed with response: Metformin is an oral medication that can help reduce glucose production in the liver.]
[2024-05-27 15:25:40,213: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:21,273: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:21,274: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:25,528: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:29,984: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:29,984: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:33,737: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:26:53,625: INFO: app: Conversation chain run started with user inputs: Describe the differences between Type]
[2024-05-27 15:26:54,888: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 15:26:54,892: INFO: app: Conversation chain run completed with response: Type 1 diabetes is typically diagnosed in children and young adults and involves the body not producing insulin. Type 2 diabetes is more common and involves insulin resistance or insufficient insulin production.]
[2024-05-27 15:26:54,893: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:27:03,121: WARNING: app: Invalid input. Please enter a number.]
[2024-05-27 15:27:28,192: INFO: app: Conversation chain run started with user inputs: who is the president of india]
[2024-05-27 15:27:28,963: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 15:27:28,967: INFO: app: Conversation chain run completed with response: I can only answer diabetes related questions.]
[2024-05-27 15:28:05,527: INFO: app: Extraction chain run started with user inputs: My A1C is 6, do I have diabetes]
[2024-05-27 15:28:06,653: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 15:28:52,043: WARNING: app: Please upload your document first.]
[2024-05-27 15:29:04,807: INFO: pipelines: PDF to vector pipeline started for path: pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 15:29:05,767: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 15:29:08,720: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 15:29:09,160: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 15:29:09,281: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 15:29:09,282: INFO: app: New conversation chain created]
[2024-05-27 15:29:09,282: INFO: app: New Extraction chain created]
[2024-05-27 15:29:28,468: INFO: app: Extraction chain run started with user inputs: My A1C is 6, do I have diabetes]
[2024-05-27 15:29:30,015: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 16:46:32,706: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/src/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 16:46:34,122: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 16:46:36,935: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 16:46:37,549: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 16:46:37,735: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 16:46:37,736: INFO: helper: New conversation chain created]
[2024-05-27 16:46:37,736: INFO: helper: New Extraction chain created]
[2024-05-27 16:47:04,168: INFO: helper: Conversation chain run started with user inputs: who is the president of america]
[2024-05-27 16:47:05,399: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 16:47:05,405: INFO: helper: Conversation chain run completed with response: I can only answer diabetes related questions.]
[2024-05-27 16:47:20,950: INFO: helper: Conversation chain run started with user inputs: what is diabetes 1]
[2024-05-27 16:47:22,183: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 16:47:22,187: INFO: helper: Conversation chain run completed with response: Diabetes Type 1 is a chronic condition where the body does not produce insulin, typically diagnosed in children and young adults.]
